 Count  Overhead File                    Line Function
   122         0 …/ThermalProperties.jl    99 thermal_properties_calculator(Tem…
   130       130 @Base/array.jl          1001 __safe_setindex!
   132         0 @Base/array.jl          1262 push!
   141         0 @Base/math.jl           1199 ^
   149       149 …eArrays/src/linalg.jl     ? _spmatmul!(C::Vector{Float64}, A:…
   150         0 …s/src/sparsematrix.jl  4275 diag
   171         0 …solvers/DHCPSolver.jl   399 solve_dhcp!(T_initial::Array{Floa…
   181         0 …s/src/sparsevector.jl   436 setindex!
   184         0 …vers/AdjointSolver.jl   407 solve_adjoint!(T_cal::Array{Float…
   185         0 …s/src/sparsematrix.jl  1081 sparse(I::Vector{Int64}, J::Vecto…
   197         0 @Base/array.jl           369 similar
   200         0 …s/src/sparsematrix.jl  1260 sparse!(I::Vector{Int64}, J::Vect…
   200         0 …s/src/sparsematrix.jl  1082 sparse(I::Vector{Int64}, J::Vecto…
   203         0 …/ThermalProperties.jl    45 polyval_numba
   218         0 …vers/AdjointSolver.jl   417 solve_adjoint!(T_cal::Array{Float…
   223         0 @Base/broadcast.jl       675 _getindex
   231         0 @Base/array.jl          1261 push!
   248         0 @Base/array.jl           589 zeros
   249        65 …eArrays/src/linalg.jl    92 _spmatmul!(C::Vector{Float64}, A:…
   256         0 @Base/array.jl           585 zeros
   272         0 …tiveSolvers/src/cg.jl    93 iterate(it::IterativeSolvers.PCGI…
   278         0 @Base/broadcast.jl       674 _getindex
   279         0 @Base/broadcast.jl       650 _broadcast_getindex
   279         0 @Base/broadcast.jl       651 _broadcast_getindex
   279         0 @Base/broadcast.jl       678 _broadcast_getindex_evalf
   301         0 @Base/array.jl          1451 resize!(a::Vector{Int64}, nl_::In…
   341         0 …tiveSolvers/src/cg.jl    86 iterate(it::IterativeSolvers.PCGI…
   347         0 @Base/boot.jl            591 Array
   382         0 @Base/broadcast.jl       610 getindex
   383         0 …solvers/DHCPSolver.jl   402 solve_dhcp!(T_initial::Array{Floa…
   403         0 …tiveSolvers/src/cg.jl    94 iterate(it::IterativeSolvers.PCGI…
   424         0 @Base/array.jl          1497 sizehint!
   424         0 @Base/array.jl          1524 sizehint!(a::Vector{Float64}, sz:…
   432         0 @Base/broadcast.jl       973 macro expansion
   435         0 @Base/simdloop.jl         77 macro expansion
   462       462 @Base/array.jl          2354 findnext
   474       474 @Base/array.jl           987 setindex!
